Hsinchu-county,竹北市,六家一路二段７３號,富源芳庭,14,46.9,None
Hsinchu-county,竹北市,光明六路東二段３７９號,半畝塘若山,51,37.5,None
Hsinchu-county,竹北市,光明六路東二段４３０號,一品花園,85,35.3,None
Hsinchu-county,竹北市,嘉豐五路一段２０９號,坤山君峰,72,32.6,None
Hsinchu-county,竹北市,文興路２７９號,大宅天第,50,32.1,None
Hsinchu-county,竹北市,成功十一街//自強五路,五五侘,59,31.6,None
Hsinchu-county,竹北市,成功六街３６巷１號,品建築,16,31.5,112
Hsinchu-county,竹北市,興隆路三段１９５號,大觀自若,100,31.4,None
Hsinchu-county,竹北市,福興東路二段１１１號,惠宇謙里,71,31.2,None
Hsinchu-county,竹北市,六家五路一段３５０號,遠雄六家匯,162,30.2,None
Hsinchu-county,竹北市,嘉豐南路一段５２號,中央公園,80,29.8,None
Hsinchu-county,竹北市,光明六路東二段１１２號,大城有德,53,29.4,None
Hsinchu-county,竹北市,嘉政十街１６號,坤山靜境,54,29.3,None
Hsinchu-county,竹北市,嘉豐五路二段//六家八街,新業 柳宗里,56,28.8,None
Hsinchu-county,竹北市,興隆路二段９９號,大宅天景,44,28.6,195
Hsinchu-county,竹北市,自強三路１８８號,美麗華仁愛,45,28.1,None
Hsinchu-county,竹北市,隘口二路６０號,知青沁,72,28.1,None
Hsinchu-county,竹北市,六家一路一段２６１號,合石樂學,30,28,None
Hsinchu-county,竹北市,隘口二路//隘口五街,大硯九+1,98,28,None
Hsinchu-county,竹北市,興隆路一段４３３號,坤山和謙,84,27.9,None
Hsinchu-county,竹北市,光明六路東一段１６２號,MOMA,145,27.6,110
Hsinchu-county,竹北市,六家五路一段３０８號,聚合發湛泰,56,27.1,None
Hsinchu-county,竹北市,縣政二路南段//科大二街,遠雄文華匯,192,27,None
Hsinchu-county,竹北市,光明六路東二段２３６號,鉅虹雲山,76,26.9,None
Hsinchu-county,竹北市,文興路二段//復興三路二段//嘉豐十一路一段,哈洛德,326,26.8,None
Hsinchu-county,竹北市,興隆路一段５６１號,總太雍河,47,26.6,None
Hsinchu-county,竹北市,嘉政七街８２號,富宇葉慈,80,26.4,None
Hsinchu-county,竹北市,文興路二段２５號,仁發匯峰,43,26.3,None
Hsinchu-county,竹北市,隘口二路１６號,大硯四十八章,53,26.2,36
Hsinchu-county,竹北市,嘉政五街//六家五路一段,新業A+,56,26.2,None
Hsinchu-county,竹北市,光明六路東二段//嘉豐北路,光立方,167,26.2,None
Hsinchu-county,竹北市,文興路３９號,昌禾印月,75,26.1,43
Hsinchu-county,竹北市,興隆路三段９１號,風臨渡,27,25.9,None
Hsinchu-county,竹北市,隘口五街１６號,大硯三十二品,33,25.6,46
Hsinchu-county,竹北市,興隆路五段２５１號,禾水岸,81,25.5,None
Hsinchu-county,竹北市,興隆路一段６３１號,水公園,280,25.5,None
Hsinchu-county,竹北市,嘉政五街//六家一路一段,椰林水塘硯,58,25.3,None
Hsinchu-county,竹北市,成功十二街５２號,臻品花園,42,25.2,None
Hsinchu-county,竹北市,隘口三街２４３號,富宇愛慕,80,25.2,None
Hsinchu-county,竹北市,成功八路９６號,椰林成功八錄,61,25.1,None
Hsinchu-county,竹北市,莊敬三路//勝利十一路,湛高峰,275,25.1,35
Hsinchu-county,竹北市,六家八街２７１號,俬見方,33,25.1,None
Hsinchu-county,竹北市,興隆路三段３３１號,君廈,30,25.1,None
Hsinchu-county,竹北市,科大一路１４０號,昌禾原相,77,25,None
Hsinchu-county,竹北市,縣政二路４８８號,偉詮摯愛,32,25,None
Hsinchu-county,竹北市,東興路一段//嘉豐北路,富宇君天下,168,24.9,None
Hsinchu-county,竹北市,自強北路３１８號,鴻向,97,24.9,None
Hsinchu-county,竹北市,六家一路一段//嘉豐五路二段,深耕禾豐,82,24.8,None
Hsinchu-county,竹北市,勝利二路３６號,東坡硯,24,24.7,None
Hsinchu-county,竹北市,文興路一段３２８號,極品苑,40,24.7,39
Hsinchu-county,竹北市,復興六路//嘉豐六路一段,時代觀邸,150,24.7,130
Hsinchu-county,竹北市,莊敬三路//勝利十一路,翰林富苑,198,24.6,None
Hsinchu-county,竹北市,嘉興路１７０號,九牧世家,287,24.6,None
Hsinchu-county,竹北市,成功十一街//成功十街,心里畫,63,24.5,None
Hsinchu-county,竹北市,成功一街//成功二街,富宇富玉,58,24.4,None
Hsinchu-county,竹北市,復興三路一段２０２號,富宇君悅,61,24.4,None
Hsinchu-county,竹北市,六家七路//六家八街,鼎藝 唐風臨,74,24.4,None
Hsinchu-county,竹北市,興學街２號,德鑫御苑,97,24.3,50
Hsinchu-county,竹北市,成功九街８８號,景上瀞,58,24.3,None
Hsinchu-county,竹北市,六家一路一段//嘉豐六路二段,禾寅深耕,40,24.2,None
Hsinchu-county,竹北市,隘口五街//隘口二路,大硯二十二間堂,22,24.1,60
Hsinchu-county,竹北市,復興六路１３號,時代之上,62,24.1,75
Hsinchu-county,竹北市,高鐵二路１５８巷１２號,富源世紀觀,102,24.1,52
Hsinchu-county,竹北市,文興路７７號,蘭亭序,90,24.1,81
Hsinchu-county,竹北市,勝利八街二段１１１號,富宇雲極,92,24.1,None
Hsinchu-county,竹北市,復興七路５０號,新東方,130,24,None
Hsinchu-county,竹北市,嘉政八街//六家五路二段,華爾道夫,41,24,None
Hsinchu-county,竹北市,台科路//科大一路,昌禾草葉集,83,23.9,None
Hsinchu-county,竹北市,六家五路二段１２２號,北竹豐釀,14,23.9,None
Hsinchu-county,竹北市,光明六路東二段//復興一街//嘉豐七街,德翼,230,23.8,None
Hsinchu-county,竹北市,六家八街４９號,本因坊,35,23.7,None
Hsinchu-county,竹北市,縣政七街３９號,椰林園首,20,23.7,None
Hsinchu-county,竹北市,復興二路６３號,水怡園,85,23.7,32
Hsinchu-county,竹北市,興隆路五段１７５號,水墨白,80,23.6,91
Hsinchu-county,竹北市,六家一路一段２２３號,遊川風,24,23.6,None
Hsinchu-county,竹北市,興隆路一段５２１號,青川之上,88,23.6,None
Hsinchu-county,竹北市,隘口六街９９號,惠宇上澄,80,23.6,None
Hsinchu-county,竹北市,嘉豐十一路一段//復興二路,時尚廣場,120,23.5,111
Hsinchu-county,竹北市,復興一街//嘉豐六路一段//光明六路東二段,鼎峰,77,23.5,None
Hsinchu-county,竹北市,隘口三街５２號,Life Park,49,23.5,None
Hsinchu-county,竹北市,高鐵二路１２７號,寬隆敦和,61,23.4,None
Hsinchu-county,竹北市,光明六路東一段//自強南路,達文西,236,23.4,65
Hsinchu-county,竹北市,興隆路三段３３號,大日天合,13,23.3,None
Hsinchu-county,竹北市,科大一路２６號,科大賀,105,23.3,None
